Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,693718108,PCAR ,"4,629,079","454,621,848.59",0.314,PACCAR Inc,Common Stock,Industrials,01/04/2023
QQQ,931427108,WBA ,"11,511,322","431,559,461.78",0.298,Walgreens Boots Alliance Inc,Common Stock,Consumer Staples,01/04/2023
QQQ,47215P106,JD ,"6,466,267","427,420,248.70",0.295,JD.com Inc ADR,American Depository Receipt,Consumer Discretionary,01/04/2023
QQQ,679580100,ODFL ,"1,470,603","424,695,440.37",0.293,Old Dominion Freight Line Inc,Common Stock,Industrials,01/04/2023
QQQ,452327109,ILMN ,"2,093,804","424,225,628.44",0.293,Illumina Inc,Common Stock,Health Care,01/04/2023
QQQ,22160N109,CSGP ,"5,413,387","422,244,186.00",0.292,CoStar Group Inc,Common Stock,Industrials,01/04/2023
QQQ,573874104,MRVL ,"11,348,820","414,799,371.00",0.287,Marvell Technology Inc,Common Stock,Information Technology,01/04/2023
QQQ,256746108,DLTR ,"2,944,163","413,713,784.76",0.286,Dollar Tree Inc,Common Stock,Consumer Discretionary,01/04/2023
QQQ,192446102,CTSH ,"6,840,728","397,172,667.68",0.274,Cognizant Technology Solutions Corp,Common Stock,Information Technology,01/04/2023
QQQ,217204106,CPRT ,"6,339,956","392,950,472.88",0.271,Copart Inc,Common Stock,Industrials,01/04/2023
QQQ,G39387108,GFS ,"7,255,390","383,882,684.90",0.265,GLOBALFOUNDRIES Inc,Common Stock,Information Technology,01/04/2023
QQQ,92345Y106,VRSK ,"2,081,659","375,219,034.75",0.259,Verisk Analytics Inc,Common Stock,Industrials,01/04/2023
QQQ,05722G100,BKR ,"13,330,332","371,782,959.48",0.257,Baker Hughes Co,Common Stock,Energy,01/04/2023
QQQ,311900104,FAST ,"7,623,914","365,719,154.58",0.253,Fastenal Co,Common Stock,Industrials,01/04/2023
QQQ,21037T109,CEG ,"4,352,808","363,067,715.28",0.251,Constellation Energy Corp,Common Stock,Utilities,01/04/2023
QQQ,934423104,WBD ,"32,323,978","335,522,891.64",0.232,Warner Bros Discovery Inc,Common Stock,Communication Services,01/04/2023
QQQ,81181C104,SGEN ,"2,471,352","333,385,384.80",0.230,Seagen Inc,Common Stock,Health Care,01/04/2023
QQQ,278642103,EBAY ,"7,223,255","311,250,057.95",0.215,eBay Inc,Common Stock,Consumer Discretionary,01/04/2023
QQQ,25278X109,FANG ,"2,342,692","306,002,429.04",0.211,Diamondback Energy Inc,Common Stock,Energy,01/04/2023
QQQ,82968B103,SIRI ,"51,772,916","303,389,287.76",0.210,Sirius XM Holdings Inc,Common Stock,Communication Services,01/04/2023
QQQ,22788C105,CRWD ,"2,905,505","303,233,029.32",0.209,Crowdstrike Holdings Inc,Common Stock,Information Technology,01/04/2023
QQQ,03662Q105,ANSS ,"1,159,555","281,702,291.70",0.195,ANSYS Inc,Common Stock,Information Technology,01/04/2023
QQQ,23804L103,DDOG ,"3,887,426","268,076,896.96",0.185,Datadog Inc,Common Stock,Information Technology,01/04/2023
QQQ,049468101,TEAM ,"1,973,636","249,467,590.40",0.172,Atlassian Corp,Common Stock,Information Technology,01/04/2023
QQQ,016255101,ALGN ,"1,039,758","233,560,839.54",0.161,Align Technology Inc,Common Stock,Health Care,01/04/2023
QQQ,98980L101,ZM ,"3,269,844","221,204,946.60",0.153,Zoom Video Communications Inc,Common Stock,Information Technology,01/04/2023
QQQ,76954A103,RIVN ,"12,154,473","215,255,716.83",0.149,Rivian Automotive Inc,Common Stock,Consumer Discretionary,01/04/2023
QQQ,98980G102,ZS ,"1,919,583","214,206,266.97",0.148,Zscaler Inc,Common Stock,Information Technology,01/04/2023
QQQ,549498103,LCID ,"22,367,933","144,944,205.84",0.100,Lucid Group Inc,Common Stock,Consumer Discretionary,01/04/2023
